OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE
1,47.658745,-122.4182162,1/3/09
1,47.5669131,-122.4108696,1/11/09
1,47.6626394,-122.4310948,1/3/09
1,47.6698889,-122.2868333,1/1/09
1,47.6981686,-122.2101878,1/2/09
1,47.6878247,-122.3731899,1/3/09
2,47.6698889,-122.2868333,1/2/09
1,47.658543,-122.1317053,1/17/09
1,47.6142496,-122.217772,1/31/09
1,47.662576,-122.12052,1/15/09
1,47.65424,-122.29137,1/9/09
1,47.7271643,-122.2192204,1/9/09
1,47.6981686,-122.2101878,1/6/09
1,47.6981686,-122.2101878,1/8/09
1,47.6698889,-122.2868333,1/11/09
2,47.7255261,-122.3168528,1/11/09
2,47.663868,-122.4215317,1/10/09
1,47.6715467,-122.1952736,1/8/09
1,47.5833866,-122.3709583,1/10/09
2,47.658543,-122.1317053,1/1/09
1,47.7688287,-122.3158792,1/5/09
2,47.658543,-122.1317053,1/7/09
1,47.7688287,-122.3158792,1/3/09
3,47.7470016,-122.3079987,1/25/09
1,47.65424,-122.29137,1/11/09
1,47.6618703,-122.4355298,1/18/09
1,47.4066334,-122.2595633,1/19/09
4,47.663868,-122.4215317,1/20/09
2,47.646592,-122.2909732,1/15/09
1,47.598276,-122.1960917,1/18/09
3,47.65424,-122.29137,1/17/09
2,47.65424,-122.29137,1/16/09
2,47.3452571,-122.2574488,1/11/09
1,47.6715467,-122.1952736,1/13/09
1,47.662576,-122.12052,1/15/09
1,47.65424,-122.29137,1/17/09
1,47.663868,-122.4215317,1/15/09
1,47.6815336,-122.2505453,1/16/09
1,47.6715467,-122.1952736,1/14/09
1,47.65424,-122.29137,1/11/09
1,47.663868,-122.4215317,1/3/09
2,47.5720381,-122.013216,1/3/09
2,47.65424,-122.29137,1/29/09
3,47.65424,-122.29137,1/27/09
1,47.6981686,-122.2101878,1/28/09
7,47.663868,-122.4215317,1/30/09
1,47.6698889,-122.2868333,1/24/09
2,47.6698889,-122.2868333,1/25/09
3,47.65424,-122.29137,1/24/09
1,47.65424,-122.29137,1/26/09
1,47.57088,-122.2147572,1/28/09
2,47.6327772,-122.3876271,1/25/09
1,47.6843562,-122.2470538,1/24/09
1,47.65424,-122.29137,1/21/09
1,47.6981686,-122.2101878,1/24/09
7,47.663868,-122.4215317,1/23/09
4,47.65424,-122.29137,1/23/09
1,47.6698889,-122.2868333,1/23/09
1,47.5007162,-122.2146012,1/8/09
3,47.586397,-122.0823526,1/3/09
1,47.768558,-122.142314,1/11/09
1,47.768558,-122.142314,1/22/09
1,47.768558,-122.142314,1/17/09
1,47.7622659,-122.3487639,1/22/09
1,47.6698889,-122.2868333,1/31/09
2,47.7378349,-122.1936798,1/31/09
3,47.65424,-122.29137,1/28/09
1,47.662576,-122.12052,1/29/09
1,47.7622659,-122.3487639,1/31/09
1,47.65424,-122.29137,1/30/09
6,47.663868,-122.4215317,1/31/09
2,47.5758309,-122.3921585,1/31/09
7,47.6981686,-122.2101878,1/31/09
1,47.658543,-122.1317053,1/31/09
2,47.4743343,-122.2036743,1/17/09
1,47.757589,-122.2641206,1/29/09
2,47.768558,-122.142314,1/15/09
1,47.768558,-122.142314,1/16/09
1,47.768558,-122.142314,1/7/09
1,47.768558,-122.142314,1/8/09
1,47.768558,-122.142314,1/14/09
1,47.4604744,-122.3568901,1/1/09
1,47.48292,-122.21723,1/23/09
2,47.5892626,-122.3811722,1/31/09
1,47.658543,-122.1317053,1/14/09
6,47.658745,-122.4182162,2/7/09
1,47.758249,-122.2232893,2/14/09
1,47.768558,-122.142314,2/20/09
1,47.65424,-122.29137,2/8/09
2,47.7171256,-122.2851491,2/14/09
1,47.662576,-122.12052,2/12/09
