OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE
1,47.5257183,-122.0479976,2/25/15
1,47.5257183,-122.0479976,2/26/15
1,47.5257183,-122.0479976,2/22/15
1,47.5257183,-122.0479976,2/27/15
1,47.5257183,-122.0479976,2/27/15
1,47.5257183,-122.0479976,2/27/15
1,47.5257183,-122.0479976,2/27/15
1,47.5257183,-122.0479976,2/26/15
1,47.5257183,-122.0479976,2/26/15
1,47.5257183,-122.0479976,2/26/15
1,47.5257183,-122.0479976,2/26/15
1,47.5258594,-122.0477843,2/28/15
1,47.5257183,-122.0479976,2/27/15
1,47.5258004,-122.046985,2/28/15
1,47.5257183,-122.0479976,2/27/15
1,47.5257183,-122.0479976,2/27/15
1,47.5257183,-122.0479976,2/27/15
1,47.5257183,-122.0479976,2/28/15
1,47.5257183,-122.0479976,2/21/15
1,47.5257183,-122.0479976,2/28/15
1,47.5257183,-122.0479976,2/26/15
1,47.5257183,-122.0479976,2/28/15
1,47.5257183,-122.0479976,2/28/15
1,47.5257183,-122.0479976,2/28/15
1,47.5120298,-122.0283694,2/28/15
1,47.5257183,-122.0479976,2/28/15
1,47.5257183,-122.0479976,2/27/15
1,47.5257183,-122.0479976,2/27/15
1,47.5257183,-122.0479976,2/20/15
1,47.5257183,-122.0479976,3/7/15
1,47.5257183,-122.0479976,3/7/15
1,47.5257183,-122.0479976,3/7/15
1,47.5257183,-122.0479976,3/27/15
1,47.5257183,-122.0479976,3/29/15
1,47.5257183,-122.0479976,3/7/15
1,47.525684,-122.046842,3/6/15
1,47.5257183,-122.0479976,3/8/15
1,47.5257183,-122.0479976,3/8/15
1,47.5257183,-122.0479976,3/17/15
1,47.5257183,-122.0479976,3/17/15
1,47.5257183,-122.0479976,3/9/15
1,47.525684,-122.046842,3/8/15
1,47.5257183,-122.0479976,3/29/15
1,47.5257183,-122.0479976,3/10/15
1,47.5257183,-122.0479976,3/1/15
1,47.5257183,-122.0479976,3/12/15
1,47.5257183,-122.0479976,3/22/15
1,47.5257183,-122.0479976,3/29/15
1,47.5257183,-122.0479976,3/1/15
1,47.5257183,-122.0479976,3/1/15
1,47.5257183,-122.0479976,3/1/15
1,47.5257183,-122.0479976,3/1/15
1,47.5257183,-122.0479976,3/1/15
1,47.5257183,-122.0479976,3/1/15
1,47.5257183,-122.0479976,3/1/15
1,47.5257183,-122.0479976,3/1/15
1,47.5257183,-122.0479976,3/1/15
1,47.5257183,-122.0479976,3/22/15
1,47.5257183,-122.0479976,3/2/15
1,47.5257183,-122.0479976,3/2/15
1,47.5257183,-122.0479976,3/2/15
1,47.5257183,-122.0479976,3/2/15
1,47.5257183,-122.0479976,3/2/15
1,47.5257183,-122.0479976,3/1/15
1,47.5257183,-122.0479976,3/11/15
1,47.5257183,-122.0479976,3/14/15
1,47.5257183,-122.0479976,3/23/15
1,47.525634,-122.046729,3/24/15
1,47.525634,-122.046729,3/24/15
1,47.5257183,-122.0479976,3/3/15
1,47.5257183,-122.0479976,3/20/15
1,47.5223551,-122.041872,3/5/15
1,47.5325598,-122.0286655,3/6/15
1,47.525684,-122.046842,3/6/15
1,47.5257183,-122.0479976,3/16/15
1,47.5257183,-122.0479976,3/16/15
1,47.5257183,-122.0479976,3/26/15
1,47.5257183,-122.0479976,3/6/15
1,47.5257183,-122.0479976,3/27/15
1,47.5257183,-122.0479976,4/1/15
1,47.5257183,-122.0479976,4/2/15
1,47.5257183,-122.0479976,4/1/15
1,47.5257183,-122.0479976,4/2/15
1,47.5257183,-122.0479976,4/2/15
1,47.5257183,-122.0479976,4/2/15
