OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE
4,47.5669131,-122.4108696,1/17/09
2,47.5746294,-122.4185836,1/19/09
4,47.40234,-122.33128,1/19/09
5,47.5758309,-122.3921585,1/31/09
1,47.5726544,-122.4140185,1/25/09
1,47.5952692,-122.3865366,1/19/09
1,47.5892626,-122.3811722,1/31/09
1,47.5721322,-122.4139863,2/1/09
5,47.5841938,-122.4005256,2/17/09
4,47.5626274,-122.4058914,3/14/09
2,47.5626274,-122.4058914,4/11/09
5,47.5302762,-122.3955921,4/19/09
2,47.327654,-122.376709,5/2/09
1,47.5402193,-122.3970294,5/8/09
1,47.5726317,-122.4141097,5/8/09
3,47.5302762,-122.3955921,9/29/09
3,47.777653,-122.3932448,10/18/09
1,47.663868,-122.4215317,10/10/09
1,47.57092,-122.38624,10/10/09
3,47.777653,-122.3932448,11/14/09
5,47.777653,-122.3932448,11/17/09
2,47.7739592,-122.3925439,11/8/09
7,47.5841938,-122.4005256,12/22/09
1,47.5841938,-122.4005256,12/12/09
2,47.3833333,-122.4666667,12/27/09
2,47.6727857,-122.4041748,12/26/09
16,47.5841938,-122.4005256,12/1/09
2,47.6928546,-122.4054806,12/26/09
3,47.5721322,-122.4139863,12/27/09
9,47.450728,-122.3791122,12/27/09
2,47.40234,-122.33128,12/5/09
3,47.5841938,-122.4005256,12/12/09
3,47.5841938,-122.4005256,12/12/09
9,47.5841938,-122.4005256,12/11/09
8,47.5841938,-122.4005256,1/31/10
2,47.5841938,-122.4005256,1/23/10
8,47.5669131,-122.4108696,1/3/10
8,47.5841938,-122.4005256,1/3/10
6,47.5669131,-122.4108696,1/8/10
3,47.5790733,-122.4120712,1/10/10
4,47.5781632,-122.4145415,1/8/10
6,47.5736305,-122.4156761,1/16/10
10,47.5633948,-122.4039924,1/10/10
10,47.5841938,-122.4005256,1/10/10
2,47.5841938,-122.4005256,1/7/10
1,47.5726317,-122.4141097,1/2/10
6,47.5721322,-122.4139863,1/24/10
3,47.5841938,-122.4005256,1/9/10
1,47.4113617,-122.4783325,1/23/10
4,47.5781632,-122.4145415,1/22/10
6,47.5892626,-122.3811722,1/30/10
2,47.7635752,-122.3851633,1/29/10
3,47.7739592,-122.3925439,1/30/10
8,47.5841938,-122.4005256,2/6/10
4,47.5841938,-122.4005256,2/4/10
2,47.5302762,-122.3955921,2/1/10
2,47.5841938,-122.4005256,2/19/10
8,47.5781632,-122.4145415,2/3/10
2,47.5841938,-122.4005256,3/19/10
1,47.5302762,-122.3955921,3/24/10
3,47.5841938,-122.4005256,3/1/10
1,47.5302762,-122.3955921,3/9/10
10,47.5841938,-122.4005256,3/9/10
12,47.5726544,-122.4140185,3/22/10
2,47.332312,-122.507595,3/23/10
1,47.5102442,-122.4645996,3/6/10
2,47.332312,-122.507595,4/30/10
6,47.5841938,-122.4005256,4/1/10
2,47.5731673,-122.4160194,4/4/10
15,47.5746294,-122.4185836,4/4/10
2,47.5116355,-122.3822021,4/4/10
5,47.6046584,-122.4168777,4/4/10
10,47.5886933,-122.4398546,4/4/10
2,47.563362,-122.4064708,4/3/10
10,47.5886933,-122.4398546,4/4/10
5,47.6046584,-122.4168777,4/4/10
1,47.5302762,-122.3955921,4/10/10
2,47.332312,-122.507595,4/28/10
2,47.332312,-122.507595,4/27/10
2,47.332312,-122.507595,4/30/10
5,47.5736079,-122.4165838,5/14/10
10,47.5841938,-122.4005256,5/6/10
2,47.332312,-122.507595,5/5/10
5,47.5841938,-122.4005256,5/14/10
12,47.5635903,-122.4062884,5/15/10
1,47.5726317,-122.4141097,5/7/10
3,47.5102442,-122.4645996,9/16/10
5,47.5841938,-122.4005256,9/22/10
7,47.5726544,-122.4140185,10/12/10
10,47.5841938,-122.4005256,10/13/10
11,47.5841938,-122.4005256,10/19/10
1,47.7635752,-122.3851633,10/20/10
10,47.7635752,-122.3851633,10/29/10
1,47.5302762,-122.3955921,10/28/10
4,47.7739592,-122.3925439,10/2/10
5,47.7635752,-122.3851633,11/10/10
23,47.5841938,-122.4005256,11/12/10
20,47.5841938,-122.4005256,11/14/10
5,47.7635752,-122.3851633,11/15/10
5,47.40234,-122.33128,11/20/10
14,47.5841938,-122.4005256,11/19/10
2,47.7739592,-122.3925439,11/21/10
2,47.7635752,-122.3851633,11/19/10
10,47.5841938,-122.4005256,11/17/10
1,47.6600127,-122.4304269,11/6/10
23,47.5841938,-122.4005256,11/6/10
6,47.5841938,-122.4005256,11/3/10
8,47.5841938,-122.4005256,12/26/10
5,47.5566037,-122.3986816,12/26/10
6,47.5841938,-122.4005256,12/29/10
15,47.3879267,-122.3268467,12/31/10
12,47.47042,-122.34724,12/31/10
3,47.5841938,-122.4005256,12/30/10
7,47.5841938,-122.4005256,12/6/10
16,47.5566037,-122.3986816,12/11/10
1,47.5302762,-122.3955921,12/13/10
6,47.5841938,-122.4005256,12/11/10
8,47.5726317,-122.4141097,12/24/10
4,47.563362,-122.4064708,12/24/10
10,47.3879267,-122.3268467,12/19/10
7,47.40234,-122.33128,12/19/10
3,47.5566037,-122.3986816,1/2/11
2,47.40234,-122.33128,1/3/11
2,47.5302762,-122.3955921,1/3/11
3,47.3879267,-122.3268467,1/2/11
14,47.47042,-122.34724,1/2/11
2,47.5841938,-122.4005256,1/2/11
9,47.5669131,-122.4108696,1/1/11
10,47.5841938,-122.4005256,1/8/11
4,47.40234,-122.33128,1/15/11
2,47.5841938,-122.4005256,1/11/11
2,47.3867337,-122.326667,1/15/11
4,47.40234,-122.33128,1/15/11
20,47.5669131,-122.4108696,1/15/11
2,47.40234,-122.33128,1/15/11
8,47.3879267,-122.3268467,1/15/11
3,47.3733609,-122.3240089,1/15/11
2,47.386887,-122.3266697,1/15/11
1,47.3733968,-122.3236098,1/15/11
12,47.5721322,-122.4139863,1/23/11
1,47.563362,-122.4064708,1/25/11
1,47.661963,-122.435841,1/1/11
1,47.5841938,-122.4005256,2/12/11
1,47.429,-122.476,2/5/11
1,47.429,-122.476,2/5/11
1,47.3733968,-122.3236098,2/13/11
1,47.7635752,-122.3851633,2/12/11
4,47.5841938,-122.4005256,3/11/11
6,47.3733968,-122.3236098,3/27/11
12,47.5841938,-122.4005256,3/27/11
5,47.40234,-122.33128,3/27/11
2,47.5302762,-122.3955921,3/5/11
2,47.327654,-122.376709,3/7/11
3,47.3733968,-122.3236098,3/10/11
7,47.332312,-122.507595,4/26/11
2,47.332312,-122.507595,4/29/11
11,47.563587,-122.406927,4/2/11
1,47.5302762,-122.3955921,4/3/11
10,47.563362,-122.4064708,4/2/11
5,47.332312,-122.507595,5/20/11
5,47.332312,-122.507595,5/16/11
3,47.332312,-122.507595,5/17/11
3,47.332312,-122.507595,5/19/11
3,47.332312,-122.507595,5/23/11
2,47.332312,-122.507595,5/2/11
2,47.332312,-122.507595,5/24/11
1,47.3928852,-121.4748907,5/14/11
5,47.332312,-122.507595,5/10/11
1,47.332312,-122.507595,6/16/11
2,47.5841938,-122.4005256,8/13/11
4,47.47795,-122.362434,9/19/11
8,47.5402193,-122.3970294,9/30/11
1,47.5841938,-122.4005256,9/30/11
1,47.7126411,-122.377647,10/7/11
2,47.5538089,-122.2501301,10/11/11
4,47.6571053,-122.4213517,10/9/11
1,47.6046584,-122.4168777,10/15/11
5,47.5841938,-122.4005256,10/28/11
6,47.5402193,-122.3970294,10/28/11
8,47.563362,-122.4064708,10/1/11
2,47.5402193,-122.3970294,10/1/11
1,47.563362,-122.4064708,11/5/11
1,47.40234,-122.33128,11/12/11
3,47.563362,-122.4064708,11/5/11
12,47.5746294,-122.4185836,11/15/11
9,47.5736161,-122.4163198,11/3/11
12,47.5841938,-122.4005256,11/3/11
7,47.5736161,-122.4163198,11/14/11
6,47.563362,-122.4064708,11/15/11
7,47.5841938,-122.4005256,11/14/11
6,47.5841938,-122.4005256,11/19/11
9,47.5894941,-122.3966217,11/25/11
9,47.5894941,-122.3966217,11/25/11
3,47.5736161,-122.4163198,11/26/11
5,47.563362,-122.4064708,11/26/11
2,47.5841938,-122.4005256,11/11/11
1,47.5402193,-122.3970294,11/5/11
1,47.5402193,-122.3970294,11/5/11
1,47.563362,-122.4064708,11/5/11
2,47.5841938,-122.4005256,12/21/11
2,47.5841938,-122.4005256,12/21/11
3,47.5841938,-122.4005256,12/26/11
2,47.5841938,-122.4005256,12/26/11
1,47.5841938,-122.4005256,12/15/11
8,47.47042,-122.34724,12/31/11
2,47.5841938,-122.4005256,12/26/11
1,47.6928546,-122.4054806,12/31/11
5,47.5302762,-122.3955921,12/9/11
4,47.5402193,-122.3970294,12/9/11
6,47.5741014,-122.4172631,12/10/11
7,47.5302762,-122.3955921,1/8/12
4,47.5669131,-122.4108696,1/8/12
6,47.563362,-122.4064708,1/15/12
3,47.5289497,-122.4001694,1/3/12
4,47.5841938,-122.4005256,1/17/12
4,47.5841938,-122.4005256,1/17/12
6,47.5721322,-122.4139863,1/22/12
5,47.3733968,-122.3236098,1/28/12
2,47.663868,-122.4215317,1/28/12
1,47.663868,-122.4215317,1/1/12
6,47.47042,-122.34724,1/28/12
2,47.3879267,-122.3268467,1/28/12
4,47.5731673,-122.4160194,1/30/12
1,47.7635752,-122.3851633,1/28/12
5,47.5841938,-122.4005256,1/3/12
3,47.594185,-122.3836336,1/29/12
4,47.5841938,-122.4005256,2/1/12
1,47.5402193,-122.3970294,2/4/12
4,47.563362,-122.4064708,2/4/12
4,47.563362,-122.4064708,2/4/12
1,47.5402193,-122.3970294,2/4/12
4,47.5402193,-122.3970294,2/24/12
1,47.7635752,-122.3851633,2/10/12
4,47.5841938,-122.4005256,2/12/12
1,47.5841938,-122.4005256,2/3/12
1,47.40234,-122.33128,2/2/12
2,47.663868,-122.4215317,2/23/12
1,47.5841938,-122.4005256,2/3/12
2,47.5841938,-122.4005256,2/25/12
2,47.5302762,-122.3955921,2/1/12
5,47.5635903,-122.4062884,2/27/12
1,47.5302762,-122.3955921,3/3/12
2,47.5302762,-122.3955921,3/27/12
6,47.563362,-122.4064708,3/3/12
2,47.5402193,-122.3970294,3/3/12
6,47.563362,-122.4064708,3/3/12
6,47.563362,-122.4064708,3/3/12
