OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE
1,47.4066334,-122.2595633,5/30/09
1,47.4066334,-122.2595633,5/30/09
1,47.6630065,-122.1146411,5/23/09
2,47.662576,-122.12052,5/28/09
1,47.662576,-122.12052,5/21/09
2,47.65424,-122.29137,5/10/09
1,47.662576,-122.12052,5/21/09
1,47.662576,-122.12052,5/21/09
1,47.662576,-122.12052,5/28/09
1,47.662576,-122.12052,5/28/09
1,47.662576,-122.12052,5/23/09
3,47.662576,-122.12052,5/28/09
2,47.65424,-122.29137,6/6/09
6,47.523852,-121.7963326,6/13/09
3,47.662576,-122.12052,6/11/09
2,47.5240404,-121.8066645,6/11/09
4,47.523852,-121.7963326,6/11/09
2,47.662576,-122.12052,6/11/09
2,47.523852,-121.7963326,6/11/09
2,47.523852,-121.7963326,6/16/09
2,47.523852,-121.7963326,6/16/09
5,47.523852,-121.7963326,6/13/09
2,47.6404972,-121.9264226,6/13/09
2,47.6404972,-121.9264226,6/13/09
2,47.523852,-121.7963326,6/10/09
5,47.523852,-121.7963326,6/14/09
1,47.682061,-121.939702,6/12/09
5,47.5240404,-121.8066645,6/13/09
2,47.662576,-122.12052,6/25/09
3,47.662576,-122.12052,6/4/09
5,47.662576,-122.12052,6/18/09
1,47.523852,-121.7963326,6/19/09
6,47.662576,-122.12052,6/18/09
2,47.662576,-122.12052,6/18/09
2,47.65424,-122.29137,6/17/09
1,47.3004204,-122.2497869,6/17/09
4,47.662576,-122.12052,6/11/09
2,47.662576,-122.12052,6/25/09
2,47.662576,-122.12052,6/25/09
1,47.65424,-122.29137,6/24/09
10,47.523852,-121.7963326,6/27/09
1,47.523852,-121.7963326,6/10/09
1,47.662576,-122.12052,6/27/09
1,47.523852,-121.7963326,6/11/09
1,47.523852,-121.7963326,6/12/09
1,47.662576,-122.12052,6/18/09
1,47.662576,-122.12052,6/27/09
4,47.523852,-121.7963326,6/13/09
1,47.523852,-121.7963326,6/21/09
1,47.662576,-122.12052,7/16/09
1,47.662576,-122.12052,7/2/09
3,47.662576,-122.12052,7/30/09
1,47.523852,-121.7963326,7/4/09
2,47.662576,-122.12052,7/9/09
2,47.662576,-122.12052,7/2/09
1,47.4190282,-122.2763085,7/11/09
2,47.662576,-122.12052,7/9/09
2,47.523852,-121.7963326,7/13/09
1,47.662576,-122.12052,7/16/09
1,47.662576,-122.12052,7/16/09
3,47.662576,-122.12052,7/30/09
2,47.662576,-122.12052,7/30/09
1,47.4066334,-122.2595633,7/19/09
1,47.662576,-122.12052,8/13/09
1,47.662576,-122.12052,8/13/09
