OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE
1,47.573486,-122.398811,11/25/11
1,47.492252,-122.192986,11/23/11
1,47.698208,-122.319313,11/28/11
1,47.6684798,-122.3506165,12/21/11
1,47.6301994,-122.3135986,12/2/11
1,47.6692079,-122.3505336,12/21/11
1,47.663868,-122.4215317,11/18/12
1,47.663615,-122.354835,11/27/12
1,47.6450799,-122.3182583,11/11/12
1,47.6195619,-122.3183003,11/12/12
1,47.6197138,-122.3109457,11/14/12
1,47.6228521,-122.3106145,11/14/12
1,47.6196265,-122.3183392,11/13/12
1,47.7279254,-122.2897764,11/14/12
1,47.6301994,-122.3135986,12/8/12
1,47.6301994,-122.3135986,12/8/12
1,47.6842748,-122.4003617,12/14/12
2,47.681841,-122.4002472,12/13/12
1,47.6808225,-122.399936,12/12/12
1,47.6816761,-122.4001782,12/15/12
2,47.6833145,-122.4004188,12/31/12
1,47.681841,-122.4002472,12/16/12
1,47.6816388,-122.3990885,12/15/12
1,47.6829534,-122.3997322,12/16/12
1,47.6801055,-122.4004953,12/13/12
2,47.6800207,-122.4007836,12/27/12
1,47.6928546,-122.4054806,12/18/12
1,47.68317,-122.4001184,12/16/12
2,47.6815188,-122.3998965,12/14/12
2,47.6828303,-122.3995033,12/14/12
1,47.6816317,-122.3990621,12/15/12
1,47.6800207,-122.4007836,12/30/12
1,47.6824438,-122.4010097,12/21/12
1,47.6809427,-122.40039,12/18/12
1,47.6829967,-122.4000755,12/16/12
1,47.6823693,-122.3953147,12/23/12
2,47.6823788,-122.3996687,12/28/12
1,47.6827743,-122.3994595,12/26/12
2,47.6849021,-122.3925358,12/23/12
1,47.6801652,-122.4004197,12/26/12
2,47.681841,-122.4002472,12/25/12
1,47.6829967,-122.4000755,12/27/12
1,47.6812449,-122.401125,12/27/12
1,47.6798474,-122.4000755,12/26/12
1,47.683891,-122.4005622,12/27/12
2,47.682211,-122.3998118,12/30/12
2,47.682471,-122.400562,12/29/12
2,47.682211,-122.3998118,12/30/12
1,47.6831858,-122.4006202,12/29/12
1,47.6928546,-122.4054806,12/4/12
2,47.683475,-122.400666,12/29/12
2,47.683891,-122.4005622,12/29/12
2,47.6809309,-122.4010626,12/10/12
2,47.6833073,-122.40051,12/29/12
1,47.731591,-122.355518,12/12/12
2,47.6837289,-122.4007806,12/30/12
1,47.6817977,-122.3989919,12/11/12
1,47.6801798,-122.4010172,12/13/12
2,47.6818266,-122.4006763,12/23/12
1,47.662576,-122.12052,12/31/12
1,47.662576,-122.12052,12/31/12
1,47.6832032,-122.400632,1/3/13
2,47.6830771,-122.4002051,1/3/13
1,47.68317,-122.4001184,1/18/13
2,47.6928546,-122.4054806,1/4/13
2,47.683891,-122.4005622,1/13/13
2,47.68315,-122.4004269,1/1/13
1,47.683891,-122.4005622,1/20/13
1,47.6698058,-122.3913208,1/1/13
1,47.683891,-122.4005622,1/3/13
1,47.6800207,-122.4007836,1/3/13
1,47.6800207,-122.4007836,1/5/13
1,47.6800207,-122.4007836,1/4/13
1,47.6800207,-122.4007836,1/10/13
1,47.6800207,-122.4007836,1/1/13
1,47.6818643,-122.4007514,1/4/13
1,47.6809309,-122.4010626,1/5/13
1,47.6809309,-122.4010626,1/5/13
1,47.683735,-122.400543,1/5/13
1,47.683891,-122.4005622,1/15/13
1,47.683891,-122.4005622,1/15/13
1,47.6812399,-122.4010849,1/2/13
1,47.6893579,-122.3923543,1/6/13
1,47.6836209,-122.4005843,1/6/13
2,47.6815188,-122.3998965,1/6/13
1,47.6836468,-122.4001184,1/6/13
1,47.6816968,-122.4028244,1/5/13
1,47.683891,-122.4005622,1/27/13
1,47.6837289,-122.4007806,1/27/13
1,47.683891,-122.4005622,1/27/13
1,47.681841,-122.4002472,1/16/13
1,47.681841,-122.4002472,1/14/13
1,47.683093,-122.3998059,1/8/13
1,47.681841,-122.4002472,1/15/13
1,47.681841,-122.4002472,1/18/13
1,47.681841,-122.4002472,1/10/13
1,47.681841,-122.4002472,1/11/13
1,47.681841,-122.4002472,1/20/13
1,47.681841,-122.4002472,1/12/13
1,47.681841,-122.4002472,1/22/13
1,47.681841,-122.4002472,1/13/13
2,47.68389,-122.40056,1/9/13
2,47.683891,-122.4005622,1/10/13
1,47.6852502,-122.4000648,1/9/13
1,47.683891,-122.4005622,1/12/13
1,47.683891,-122.4005622,1/29/13
2,47.683891,-122.4005622,1/13/13
1,47.6816388,-122.3990885,1/12/13
1,47.683891,-122.4005622,1/11/13
1,47.683891,-122.4005622,1/11/13
1,47.683891,-122.4005622,1/12/13
2,47.683891,-122.4005622,1/13/13
2,47.6830771,-122.4002051,1/3/13
1,47.683891,-122.4005622,1/12/13
1,47.6865214,-122.4033907,1/12/13
2,47.683891,-122.4005622,1/13/13
1,47.683891,-122.4005622,1/12/13
1,47.6838142,-122.4004713,1/8/13
1,47.683891,-122.4005622,2/23/13
1,47.683891,-122.4005622,2/16/13
1,47.683891,-122.4005622,2/22/13
1,47.683891,-122.4005622,2/3/13
1,47.683891,-122.4005622,3/18/13
1,47.683891,-122.4005622,3/3/13
1,47.683891,-122.4005622,3/7/13
1,47.683891,-122.4005622,3/9/13
